Numero DUA,Fecha,Cultivo,Fundo Origen,Kg Netos,Presentacion,Unidades,Pais Destino,Estado
2024-0240160,2024-01-04,Cacao,Fundo Cacaotal Huallaga,9188.1,sacos 69kg,133,Suiza,Despachado
2024-0240394,2024-01-05,Arandano,Fundo Los Arandanos La Libertad,5120.4,clamshell 125g,40963,Estados Unidos,Embarcado
2024-0240219,2024-01-06,Tuna,Fundo Tunales de Ayacucho,5635.0,cajas 5kg,1127,Peru (mercado local),En transito
2024-0240344,2024-01-17,Arandano,Fundo Los Arandanos La Libertad,11800.7,clamshell 125g,94406,Reino Unido,Pendiente de revision SENASA
2024-0240200,2024-02-02,Tuna,Fundo Tunales de Ayacucho,6893.4,cajas 5kg,1379,Estados Unidos,Pendiente de revision SENASA
2024-0240296,2024-02-08,Cafe,Fundo Cafetalero Chanchamayo,12868.3,sacos 46kg,280,Estados Unidos,En transito
2024-0240191,2024-02-21,Tuna,Fundo Tunales de Ayacucho,5896.4,cajas 5kg,1179,Peru (mercado local),Despachado
2024-0240254,2024-02-24,Cafe,Fundo Cafetalero Chanchamayo,12951.9,sacos 46kg,282,Estados Unidos,Embarcado
2024-0240314,2024-02-24,Cafe,Fundo Cafetalero Chanchamayo,3957.5,sacos 46kg,86,Corea del Sur,Despachado
2024-0240186,2024-03-11,Tuna,Fundo Tunales de Ayacucho,19027.5,cajas 5kg,3806,Estados Unidos,Pendiente de revision SENASA
2024-0240303,2024-04-03,Cafe,Fundo Cafetalero Chanchamayo,20915.9,sacos 46kg,455,Estados Unidos,En transito
2024-0240149,2024-04-06,Cacao,Fundo Cacaotal Huallaga,1612.1,sacos 69kg,23,Belgica,Despachado
2024-0240333,2024-04-23,Arandano,Fundo Los Arandanos La Libertad,16878.5,clamshell 125g,135028,Espana,Pendiente de revision SENASA
2024-0240104,2024-04-27,Cacao,Fundo Cacaotal Huallaga,9253.3,sacos 69kg,134,Suiza,Pendiente de revision SENASA
2024-0240142,2024-04-29,Cacao,Fundo Cacaotal Huallaga,20156.7,sacos 69kg,292,Suiza,Pendiente de revision SENASA
2024-0240309,2024-05-03,Cafe,Fundo Cafetalero Chanchamayo,19391.2,sacos 46kg,422,Alemania,Embarcado
2024-0240233,2024-06-29,Tuna,Fundo Tunales de Ayacucho,15228.1,cajas 5kg,3046,Estados Unidos,Despachado
2024-0240360,2024-07-04,Arandano,Fundo Los Arandanos La Libertad,14062.0,clamshell 125g,112496,Espana,En transito
2024-0240177,2024-07-08,Tuna,Fundo Tunales de Ayacucho,12961.4,cajas 5kg,2592,Peru (mercado local),Embarcado
2024-0240324,2024-07-09,Arandano,Fundo Los Arandanos La Libertad,14223.7,clamshell 125g,113790,Reino Unido,Embarcado
2024-0240277,2024-07-14,Cafe,Fundo Cafetalero Chanchamayo,14490.1,sacos 46kg,315,Estados Unidos,Embarcado
2024-0240196,2024-07-18,Tuna,Fundo Tunales de Ayacucho,21273.7,cajas 5kg,4255,Estados Unidos,Pendiente de revision SENASA
2024-0240373,2024-08-02,Arandano,Fundo Los Arandanos La Libertad,15864.6,clamshell 125g,126917,Espana,Pendiente de revision SENASA
2024-0240124,2024-08-03,Cacao,Fundo Cacaotal Huallaga,9092.7,sacos 69kg,132,Suiza,Pendiente de revision SENASA
2024-0240165,2024-08-06,Cacao,Fundo Cacaotal Huallaga,14857.3,sacos 69kg,215,Paises Bajos,Embarcado
2024-0240243,2024-08-20,Cafe,Fundo Cafetalero Chanchamayo,20559.1,sacos 46kg,447,Estados Unidos,Pendiente de revision SENASA
2024-0240273,2024-08-22,Cafe,Fundo Cafetalero Chanchamayo,15472.7,sacos 46kg,336,Estados Unidos,Embarcado
2024-0240367,2024-08-29,Arandano,Fundo Los Arandanos La Libertad,21149.8,clamshell 125g,169198,Espana,Pendiente de revision SENASA
2024-0240113,2024-09-03,Cacao,Fundo Cacaotal Huallaga,15017.5,sacos 69kg,218,Belgica,Pendiente de revision SENASA
2024-0240288,2024-10-01,Cafe,Fundo Cafetalero Chanchamayo,1699.3,sacos 46kg,37,Estados Unidos,Pendiente de revision SENASA
2024-0240237,2024-10-08,Tuna,Fundo Tunales de Ayacucho,7332.1,cajas 5kg,1466,Peru (mercado local),En transito
2024-0240384,2024-10-11,Arandano,Fundo Los Arandanos La Libertad,10360.5,clamshell 125g,82884,Estados Unidos,En transito
2024-0240378,2024-10-19,Arandano,Fundo Los Arandanos La Libertad,4188.4,clamshell 125g,33507,Estados Unidos,Embarcado
2024-0240265,2024-10-21,Cafe,Fundo Cafetalero Chanchamayo,6627.9,sacos 46kg,144,Corea del Sur,En transito
2024-0240132,2024-10-28,Cacao,Fundo Cacaotal Huallaga,17994.7,sacos 69kg,261,Belgica,Embarcado
2024-0240109,2024-11-06,Cacao,Fundo Cacaotal Huallaga,3474.1,sacos 69kg,50,Paises Bajos,Despachado
2024-0240209,2024-11-10,Tuna,Fundo Tunales de Ayacucho,14951.6,cajas 5kg,2990,Estados Unidos,Pendiente de revision SENASA
2024-0240224,2024-12-11,Tuna,Fundo Tunales de Ayacucho,2239.3,cajas 5kg,448,Estados Unidos,Embarcado
2024-0240172,2024-12-14,Cacao,Fundo Cacaotal Huallaga,9647.8,sacos 69kg,140,Suiza,Pendiente de revision SENASA
2024-0240352,2024-12-18,Arandano,Fundo Los Arandanos La Libertad,1672.6,clamshell 125g,13381,Estados Unidos,Despachado
