N° DUA;FECHA EMBARQUE;CULTIVO;KG NETOS;DESTINO;NAVIERA
118-2024-1000;01/02/2024;Palta Hass;8910.0;Southampton;Maersk

118-2024-1001;04/02/2024;Palta Hass;17840.0;Hamburgo;
118-2024-1002;07/02/2024;Palta Hass;15196.0;Amberes;Hapag Lloyd
118-2024-1003;10/02/2024;Espárrago;16022.0;Rotterdam;
118-2024-1004;13/02/2024;Palta Hass;20975.0;Southampton;Maersk
118-2024-1005;16/02/2024;Arándano;8626.0;Hamburgo;
118-2024-1006;19/02/2024;Arándano;13822.0;Southampton;
118-2024-1007;22/02/2024;Espárrago;20391.0;Rotterdam;Hapag Lloyd
118-2024-1008;25/02/2024;Palta Hass;13275.0;Hamburgo;Hapag Lloyd
118-2024-1009;28/02/2024;Uva Red Globe;19580.0;Amberes;Hapag Lloyd
118-2024-1010;02/03/2024;Palta Hass;17324.0;Amberes;Hapag Lloyd
118-2024-1011;05/03/2024;Uva Red Globe;23483.0;Hamburgo;MSC

118-2024-1012;08/03/2024;Palta Hass;12953.0;Hamburgo;Hapag Lloyd
118-2024-1013;11/03/2024;Arándano;18722.0;Rotterdam;
118-2024-1014;14/03/2024;Uva Red Globe;8292.0;Southampton;MSC
118-2024-1015;17/03/2024;Arándano;13468.0;Hamburgo;MSC
118-2024-1016;20/03/2024;Arándano;24000.0;Amberes;Maersk
118-2024-1017;23/03/2024;Uva Red Globe;21511.0;Rotterdam;Maersk
118-2024-1018;26/03/2024;Uva Red Globe;22022.0;Amberes;
118-2024-1019;29/03/2024;Arándano;10596.0;Amberes;
118-2024-1020;01/04/2024;Palta Hass;14574.0;Amberes;
118-2024-1021;04/04/2024;Uva Red Globe;20038.0;Hamburgo;MSC
118-2024-1022;07/04/2024;Arándano;12951.0;Hamburgo;MSC

118-2024-1023;10/04/2024;Uva Red Globe;18853.0;Hamburgo;
118-2024-1024;13/04/2024;Uva Red Globe;20450.0;Hamburgo;MSC
118-2024-1025;16/04/2024;Arándano;20820.0;Amberes;Hapag Lloyd
118-2024-1026;19/04/2024;Palta Hass;18259.0;Southampton;Maersk
118-2024-1027;22/04/2024;Palta Hass;12561.0;Amberes;Hapag Lloyd
118-2024-1028;25/04/2024;Espárrago;22485.0;Amberes;
118-2024-1029;28/04/2024;Palta Hass;23143.0;Amberes;
118-2024-1030;01/05/2024;Uva Red Globe;22888.0;Hamburgo;Maersk
118-2024-1031;04/05/2024;Espárrago;16032.0;Amberes;
118-2024-1032;07/05/2024;Palta Hass;13999.0;Rotterdam;Hapag Lloyd
118-2024-1033;10/05/2024;Palta Hass;21427.0;Southampton;MSC

118-2024-1034;13/05/2024;Arándano;8613.0;Hamburgo;MSC
118-2024-1035;16/05/2024;Espárrago;15178.0;Rotterdam;Maersk
118-2024-1036;19/05/2024;Palta Hass;12095.0;Amberes;
118-2024-1037;22/05/2024;Palta Hass;20419.0;Amberes;Hapag Lloyd
118-2024-1038;25/05/2024;Palta Hass;8764.0;Hamburgo;
118-2024-1039;28/05/2024;Palta Hass;9774.0;Hamburgo;Maersk
